               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060255,            0.034834,            0.053224,             0.50718,             0.52167,             0.47116,             0.15377,            0.054494,            0.027078,            0.032402,            0.070016,           0.0033316,           0.0033316
                   1,            0.051448,            0.029746,            0.023377,               0.762,             0.67643,             0.69665,              0.2336,             0.05221,            0.026813,            0.014991,             0.03995,           0.0065989,           0.0065989
                   2,            0.048815,            0.029746,            0.017354,             0.77907,             0.69167,              0.7135,             0.24158,            0.051248,            0.026701,             0.01353,            0.009818,           0.0098003,           0.0098003
                   3,            0.046497,            0.029549,            0.015243,             0.80546,             0.74264,             0.74638,             0.26379,            0.049853,            0.025818,           0.0096129,            0.009703,            0.009703,            0.009703
                   4,            0.045169,            0.028908,            0.013442,              0.8104,              0.7503,             0.76268,             0.27026,            0.049945,            0.025716,           0.0091961,            0.009703,            0.009703,            0.009703
                   5,            0.044481,            0.028777,            0.012472,             0.81973,             0.76617,              0.7765,              0.2816,            0.049224,            0.025584,           0.0082161,            0.009604,            0.009604,            0.009604
                   6,            0.043945,            0.028685,            0.011654,              0.8185,             0.77804,             0.78238,             0.28946,            0.048635,            0.025384,            0.007725,            0.009505,            0.009505,            0.009505
                   7,            0.043795,            0.028526,            0.011315,             0.82448,             0.78111,             0.78759,             0.28304,            0.049093,            0.025382,           0.0076826,            0.009406,            0.009406,            0.009406
                   8,            0.043408,            0.028419,            0.010986,             0.82345,              0.7933,             0.79413,             0.29092,            0.048423,            0.025292,           0.0070575,            0.009307,            0.009307,            0.009307
                   9,            0.043257,            0.028278,            0.010545,             0.82757,             0.79497,             0.79656,             0.29896,            0.048022,            0.025161,           0.0068034,            0.009208,            0.009208,            0.009208
                  10,            0.043041,            0.028237,            0.010229,             0.82936,             0.79289,             0.79438,             0.29401,            0.048347,            0.025221,           0.0067457,            0.009109,            0.009109,            0.009109
                  11,            0.043094,            0.028258,            0.010126,             0.83486,             0.79962,             0.80495,             0.30181,            0.047768,            0.025142,           0.0065203,             0.00901,             0.00901,             0.00901
                  12,            0.042828,            0.028311,            0.009704,             0.83684,             0.79844,             0.80133,             0.30283,            0.047862,            0.025149,           0.0063952,            0.008911,            0.008911,            0.008911
                  13,            0.042741,            0.028065,           0.0097453,             0.83816,              0.8055,             0.80887,             0.30281,            0.047752,            0.025081,           0.0061658,            0.008812,            0.008812,            0.008812
                  14,            0.042682,            0.028164,           0.0095429,             0.83684,             0.80762,             0.80913,             0.30479,            0.047702,            0.025065,           0.0060444,            0.008713,            0.008713,            0.008713
                  15,            0.042538,            0.027997,           0.0094943,             0.83792,             0.80544,             0.80717,             0.30739,            0.047549,            0.025093,           0.0060727,            0.008614,            0.008614,            0.008614
                  16,            0.042372,            0.027909,           0.0093525,             0.84041,             0.81181,             0.81262,             0.31016,            0.047293,            0.024952,           0.0058647,            0.008515,            0.008515,            0.008515
                  17,            0.042459,            0.028097,           0.0091139,             0.83832,             0.81031,             0.81066,             0.30938,            0.047343,            0.024981,           0.0056868,            0.008416,            0.008416,            0.008416
                  18,            0.042205,            0.027901,            0.009118,             0.83904,             0.81466,              0.8135,             0.30989,            0.047422,            0.024925,           0.0055553,            0.008317,            0.008317,            0.008317
                  19,            0.042291,            0.028062,           0.0089587,             0.83825,             0.81514,             0.81447,             0.30965,            0.047258,             0.02493,           0.0056187,            0.008218,            0.008218,            0.008218
                  20,            0.042113,            0.027909,            0.008782,             0.84048,             0.81598,             0.81658,             0.31216,            0.047219,            0.024877,           0.0054792,            0.008119,            0.008119,            0.008119
                  21,            0.042089,            0.027883,           0.0087314,             0.84181,             0.81611,             0.81924,             0.31308,            0.047163,            0.024857,           0.0054049,             0.00802,             0.00802,             0.00802
                  22,            0.041995,            0.027907,           0.0086878,             0.83855,              0.8204,             0.81989,             0.31444,            0.047017,            0.024814,           0.0053861,            0.007921,            0.007921,            0.007921
                  23,            0.042092,            0.027742,           0.0085377,             0.83823,             0.82343,             0.82023,              0.3149,            0.047025,            0.024843,           0.0053683,            0.007822,            0.007822,            0.007822
                  24,            0.042037,            0.027913,           0.0086185,              0.8398,              0.8209,             0.82057,             0.31424,            0.047037,             0.02486,           0.0052902,            0.007723,            0.007723,            0.007723
                  25,            0.041939,            0.027791,           0.0084538,             0.84216,             0.81972,             0.82024,             0.31409,            0.047047,            0.024881,            0.005237,            0.007624,            0.007624,            0.007624
                  26,            0.041843,            0.027799,           0.0083097,             0.84361,             0.82102,             0.82123,             0.31466,            0.047006,             0.02487,           0.0052134,            0.007525,            0.007525,            0.007525
                  27,            0.041792,            0.027898,           0.0082343,             0.84302,              0.8228,             0.82121,             0.31458,            0.047009,            0.024866,            0.005169,            0.007426,            0.007426,            0.007426
                  28,             0.04174,            0.027568,            0.008206,             0.84197,             0.82256,             0.81974,             0.31432,            0.047053,            0.024868,           0.0051531,            0.007327,            0.007327,            0.007327
                  29,            0.041679,            0.027491,           0.0080939,             0.84045,             0.82527,             0.82022,               0.315,            0.047025,            0.024838,           0.0051256,            0.007228,            0.007228,            0.007228
                  30,            0.041752,            0.027661,           0.0079645,             0.84213,             0.82464,             0.82007,              0.3145,            0.047052,            0.024838,           0.0050981,            0.007129,            0.007129,            0.007129
                  31,            0.041702,            0.027677,           0.0079136,             0.84115,             0.82648,             0.82033,             0.31485,            0.047023,            0.024832,           0.0050882,             0.00703,             0.00703,             0.00703
                  32,            0.041583,             0.02775,           0.0079682,             0.84126,             0.82807,             0.82176,             0.31534,            0.046991,            0.024831,           0.0050581,            0.006931,            0.006931,            0.006931
                  33,            0.041603,            0.027617,           0.0079152,             0.84145,             0.82783,             0.82237,             0.31589,            0.046969,            0.024828,           0.0050259,            0.006832,            0.006832,            0.006832
                  34,            0.041561,            0.027621,           0.0079314,             0.84179,             0.82859,             0.82228,             0.31563,            0.046967,            0.024831,           0.0050199,            0.006733,            0.006733,            0.006733
                  35,            0.041485,            0.027701,           0.0077895,             0.84216,             0.82818,             0.82208,             0.31581,            0.046957,            0.024829,           0.0050142,            0.006634,            0.006634,            0.006634
                  36,            0.041395,            0.027524,           0.0076949,             0.84305,             0.82905,              0.8231,             0.31571,            0.046946,            0.024822,           0.0050071,            0.006535,            0.006535,            0.006535
                  37,            0.041287,            0.027433,           0.0075404,               0.843,             0.82876,             0.82285,             0.31574,            0.046937,            0.024823,           0.0050057,            0.006436,            0.006436,            0.006436
                  38,             0.04133,            0.027528,           0.0076146,             0.84258,             0.82939,             0.82319,             0.31577,            0.046939,            0.024823,           0.0050026,            0.006337,            0.006337,            0.006337
                  39,            0.041248,            0.027432,           0.0075491,             0.84254,             0.82842,             0.82296,             0.31581,             0.04693,            0.024821,           0.0050054,            0.006238,            0.006238,            0.006238
                  40,            0.041226,            0.027505,            0.007546,             0.84307,             0.82792,             0.82299,             0.31594,            0.046926,            0.024821,           0.0050102,            0.006139,            0.006139,            0.006139
                  41,            0.041274,            0.027461,           0.0075467,             0.84276,             0.82837,             0.82276,              0.3161,            0.046921,             0.02482,           0.0050148,             0.00604,             0.00604,             0.00604
                  42,            0.041193,            0.027432,            0.007417,              0.8428,             0.82889,             0.82278,             0.31616,            0.046919,             0.02482,           0.0050106,            0.005941,            0.005941,            0.005941
                  43,            0.041075,            0.027476,            0.007277,             0.84176,             0.83036,             0.82333,             0.31627,            0.046912,            0.024817,           0.0050038,            0.005842,            0.005842,            0.005842
                  44,            0.041093,             0.02751,           0.0072014,             0.84179,             0.83048,             0.82347,             0.31627,            0.046909,            0.024816,           0.0049975,            0.005743,            0.005743,            0.005743
                  45,             0.04105,            0.027411,           0.0071762,             0.84163,             0.83046,             0.82342,             0.31623,              0.0469,            0.024814,           0.0049875,            0.005644,            0.005644,            0.005644
                  46,            0.041015,            0.027362,            0.007088,             0.84204,             0.83003,             0.82367,             0.31637,            0.046896,            0.024812,            0.004977,            0.005545,            0.005545,            0.005545
                  47,            0.040879,            0.027491,           0.0070057,             0.84277,             0.83013,             0.82382,             0.31638,            0.046894,            0.024812,           0.0049685,            0.005446,            0.005446,            0.005446
                  48,            0.040843,            0.027427,           0.0069528,             0.84247,             0.83076,             0.82367,             0.31648,            0.046888,            0.024811,           0.0049568,            0.005347,            0.005347,            0.005347
                  49,            0.040879,            0.027362,           0.0070922,             0.84246,              0.8307,             0.82361,             0.31634,            0.046886,             0.02481,           0.0049459,            0.005248,            0.005248,            0.005248
                  50,            0.040794,            0.027335,           0.0069471,             0.84236,             0.83013,             0.82352,             0.31645,            0.046885,            0.024809,           0.0049429,            0.005149,            0.005149,            0.005149
                  51,            0.040826,            0.027352,            0.006857,             0.84246,             0.83047,              0.8238,             0.31641,            0.046881,            0.024808,           0.0049381,             0.00505,             0.00505,             0.00505
                  52,             0.04075,            0.027329,           0.0069522,             0.84223,             0.83016,             0.82399,             0.31655,            0.046882,            0.024806,           0.0049339,            0.004951,            0.004951,            0.004951
                  53,             0.04065,            0.027258,           0.0068151,             0.84203,             0.83024,             0.82328,             0.31638,            0.046894,            0.024808,           0.0049369,            0.004852,            0.004852,            0.004852
                  54,             0.04061,             0.02721,            0.006608,             0.84218,               0.831,             0.82375,             0.31648,            0.046891,            0.024808,           0.0049341,            0.004753,            0.004753,            0.004753
                  55,            0.040617,            0.027251,            0.006657,              0.8426,             0.83073,             0.82368,             0.31649,            0.046886,            0.024807,            0.004932,            0.004654,            0.004654,            0.004654
                  56,            0.040494,            0.027305,           0.0065855,              0.8427,             0.83041,             0.82323,             0.31646,            0.046891,            0.024807,           0.0049329,            0.004555,            0.004555,            0.004555
                  57,            0.040402,            0.027106,           0.0065297,             0.84312,             0.83101,             0.82372,             0.31641,            0.046891,            0.024806,           0.0049336,            0.004456,            0.004456,            0.004456
                  58,            0.040401,            0.027182,            0.006458,             0.84247,             0.83043,             0.82377,             0.31633,            0.046891,            0.024805,           0.0049325,            0.004357,            0.004357,            0.004357
                  59,            0.040301,            0.027127,           0.0063797,             0.84222,             0.83092,             0.82398,              0.3164,            0.046889,            0.024802,           0.0049276,            0.004258,            0.004258,            0.004258
                  60,            0.040331,            0.027292,           0.0063222,              0.8429,             0.83051,             0.82401,             0.31639,            0.046893,            0.024799,            0.004929,            0.004159,            0.004159,            0.004159
                  61,            0.040189,            0.026976,           0.0064205,             0.84355,             0.82945,              0.8242,             0.31639,            0.046893,            0.024797,           0.0049292,             0.00406,             0.00406,             0.00406
                  62,            0.040163,            0.027198,           0.0061869,             0.84323,             0.82886,             0.82389,             0.31652,            0.046891,            0.024794,           0.0049293,            0.003961,            0.003961,            0.003961
                  63,             0.04011,            0.027055,           0.0060885,             0.84355,             0.82935,             0.82406,             0.31653,            0.046891,            0.024791,           0.0049306,            0.003862,            0.003862,            0.003862
                  64,             0.03998,            0.026915,           0.0061578,             0.84403,              0.8298,             0.82431,             0.31664,            0.046894,             0.02479,           0.0049319,            0.003763,            0.003763,            0.003763
                  65,            0.040029,            0.027067,            0.006069,             0.84417,             0.82937,             0.82427,             0.31693,            0.046893,            0.024786,           0.0049317,            0.003664,            0.003664,            0.003664
                  66,            0.039911,            0.026905,           0.0060347,             0.84479,             0.82934,              0.8248,             0.31684,            0.046896,            0.024786,           0.0049305,            0.003565,            0.003565,            0.003565
                  67,            0.039888,            0.027079,           0.0060209,             0.84417,             0.82972,             0.82422,             0.31679,            0.046899,            0.024782,           0.0049269,            0.003466,            0.003466,            0.003466
                  68,            0.039729,            0.027078,           0.0060246,             0.84354,             0.83043,             0.82414,             0.31673,            0.046902,            0.024783,            0.004928,            0.003367,            0.003367,            0.003367
                  69,            0.039765,            0.026915,           0.0057995,             0.84385,             0.83011,             0.82371,             0.31663,            0.046907,            0.024782,           0.0049324,            0.003268,            0.003268,            0.003268
                  70,            0.039645,            0.026854,           0.0058259,             0.84366,             0.82967,             0.82388,             0.31646,            0.046912,            0.024783,           0.0049346,            0.003169,            0.003169,            0.003169
                  71,            0.039702,            0.026887,           0.0056909,             0.84364,             0.83019,             0.82405,             0.31629,            0.046919,            0.024783,           0.0049383,             0.00307,             0.00307,             0.00307
                  72,            0.039529,            0.026876,           0.0057122,             0.84265,             0.82992,             0.82347,             0.31636,            0.046924,            0.024783,           0.0049376,            0.002971,            0.002971,            0.002971
                  73,             0.03951,             0.02678,           0.0056244,             0.84179,             0.83011,             0.82352,             0.31613,            0.046935,            0.024785,           0.0049428,            0.002872,            0.002872,            0.002872
                  74,            0.039278,            0.026666,            0.005612,             0.84122,             0.83008,             0.82318,             0.31612,            0.046943,            0.024784,           0.0049428,            0.002773,            0.002773,            0.002773
                  75,            0.039214,            0.026672,           0.0055549,             0.84159,              0.8306,              0.8235,             0.31601,            0.046957,            0.024783,           0.0049454,            0.002674,            0.002674,            0.002674
                  76,            0.039158,            0.026629,           0.0055364,             0.84068,             0.82975,             0.82245,             0.31608,            0.046969,            0.024784,           0.0049469,            0.002575,            0.002575,            0.002575
                  77,            0.039181,            0.026637,           0.0054065,              0.8411,             0.82967,              0.8229,             0.31594,            0.046981,            0.024785,           0.0049517,            0.002476,            0.002476,            0.002476
                  78,            0.038998,            0.026622,           0.0053276,             0.84076,             0.82968,             0.82286,               0.316,            0.046996,            0.024787,           0.0049553,            0.002377,            0.002377,            0.002377
                  79,            0.038918,            0.026724,           0.0052295,             0.84153,             0.82953,             0.82286,             0.31576,            0.047011,            0.024789,           0.0049585,            0.002278,            0.002278,            0.002278
                  80,            0.038772,            0.026533,           0.0051653,             0.84171,             0.82838,              0.8221,             0.31529,            0.047031,            0.024793,           0.0049662,            0.002179,            0.002179,            0.002179
                  81,             0.03864,            0.026385,           0.0050358,              0.8412,             0.82826,             0.82167,             0.31482,            0.047051,            0.024797,           0.0049748,             0.00208,             0.00208,             0.00208
                  82,            0.038603,            0.026502,            0.005229,             0.84072,             0.82769,             0.82102,             0.31484,             0.04707,              0.0248,           0.0049824,            0.001981,            0.001981,            0.001981
                  83,            0.038571,            0.026412,           0.0050906,             0.84099,             0.82771,             0.82096,             0.31426,            0.047089,            0.024803,             0.00499,            0.001882,            0.001882,            0.001882
                  84,            0.038377,            0.026278,           0.0049678,             0.84093,             0.82718,             0.82037,             0.31402,            0.047108,            0.024808,           0.0050007,            0.001783,            0.001783,            0.001783
                  85,            0.038255,            0.026157,            0.004862,             0.84091,             0.82646,             0.82048,             0.31393,            0.047123,            0.024811,           0.0050082,            0.001684,            0.001684,            0.001684
                  86,            0.038114,            0.026218,            0.004855,             0.83966,             0.82643,             0.81934,              0.3136,            0.047138,            0.024817,            0.005014,            0.001585,            0.001585,            0.001585
                  87,            0.038057,            0.026157,           0.0048054,             0.83999,               0.826,             0.81951,             0.31325,            0.047157,            0.024825,            0.005023,            0.001486,            0.001486,            0.001486
                  88,            0.037866,            0.026078,            0.004747,             0.84024,             0.82486,             0.81847,             0.31286,            0.047181,            0.024832,           0.0050336,            0.001387,            0.001387,            0.001387
                  89,            0.037658,            0.026148,           0.0045532,                0.84,             0.82428,             0.81802,             0.31268,            0.047203,            0.024838,           0.0050487,            0.001288,            0.001288,            0.001288
                  90,            0.037643,            0.026029,           0.0046253,             0.84006,             0.82376,             0.81789,             0.31237,            0.047229,            0.024847,           0.0050651,            0.001189,            0.001189,            0.001189
                  91,            0.037429,            0.025923,           0.0045656,              0.8386,             0.82298,             0.81604,             0.31192,            0.047256,            0.024857,           0.0050841,             0.00109,             0.00109,             0.00109
                  92,            0.037314,            0.025921,           0.0045416,             0.83835,             0.82321,             0.81626,             0.31167,            0.047285,            0.024866,           0.0051018,            0.000991,            0.000991,            0.000991
                  93,            0.037188,            0.025816,            0.004466,             0.83733,              0.8233,             0.81587,             0.31114,            0.047319,            0.024877,           0.0051205,            0.000892,            0.000892,            0.000892
                  94,            0.037025,            0.025771,           0.0044699,             0.83687,             0.82219,             0.81489,             0.31045,            0.047355,             0.02489,           0.0051422,            0.000793,            0.000793,            0.000793
                  95,            0.036743,            0.025643,           0.0044227,             0.83678,             0.82172,             0.81401,             0.30998,            0.047392,            0.024903,           0.0051643,            0.000694,            0.000694,            0.000694
                  96,            0.036623,            0.025625,           0.0043388,             0.83566,             0.82049,             0.81279,             0.30924,            0.047433,            0.024919,           0.0051889,            0.000595,            0.000595,            0.000595
                  97,            0.036459,            0.025571,           0.0041924,             0.83526,             0.81981,             0.81154,             0.30848,            0.047476,            0.024936,           0.0052149,            0.000496,            0.000496,            0.000496
                  98,            0.036428,             0.02555,           0.0042454,             0.83591,             0.81903,              0.8113,             0.30788,            0.047517,            0.024954,           0.0052432,            0.000397,            0.000397,            0.000397
                  99,            0.036135,            0.025489,           0.0040822,             0.83559,             0.81876,              0.8107,             0.30723,             0.04756,            0.024972,           0.0052728,            0.000298,            0.000298,            0.000298
